# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Apr 26 16:51:28 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_masse:       Planet Mass [Earth mass]
# COLUMN pl_rade:        Planet Radius [Earth radii]
#
pl_hostname,pl_name,pl_dens,pl_eqt,pl_masse,pl_rade
K2-38,K2-38 b,,,19.06980,1.906
K2-38,K2-38 c,3.60000,858,9.90000,2.420
K2-39,K2-39 b,,,28.60470,6.277
K2-4,K2-4 b,,,,2.100
K2-42,K2-42 b,,,,2.150
K2-43,K2-43 b,,939,,4.510
K2-43,K2-43 c,,1094,,2.420
K2-44,K2-44 b,,,,2.720
K2-45,K2-45 b,,,,6.710
K2-46,K2-46 b,,,,2.050
K2-47,K2-47 b,,,,1.890
K2-48,K2-48 b,,,,2.240
K2-49,K2-49 b,,,,1.930
K2-5,K2-5 b,,565,,1.910
K2-5,K2-5 c,,456,,2.260
K2-50,K2-50 b,,,,1.590
K2-52,K2-52 b,,2004,,18.000
K2-53,K2-53 b,,665,,2.600
K2-54,K2-54 b,,,,1.150
K2-55,K2-55 b,,,,3.820
K2-57,K2-57 b,,,,2.100
K2-58,K2-58 b,,,,2.680
K2-58,K2-58 c,,,,1.620
K2-58,K2-58 d,,,,1.710
K2-59,K2-59 b,,,,2.410
K2-59,K2-59 c,,,,2.300
K2-6,K2-6 b,,615,,2.500
K2-60,K2-60 b,1.70000,1400,135.39558,7.656
K2-61,K2-61 b,,,,2.480
K2-62,K2-62 b,,,,2.140
K2-62,K2-62 c,,,,2.140
K2-63,K2-63 b,,,,3.220
K2-63,K2-63 c,,,,3.900
K2-64,K2-64 b,,,,2.070
K2-65,K2-65 b,,,,1.580
K2-66,K2-66 b,7.80000,1372,21.30000,2.490
K2-68,K2-68 b,,,,1.580
K2-69,K2-69 b,,,,2.320
K2-7,K2-7 b,,651,,2.670
K2-70,K2-70 b,,,,2.890
K2-71,K2-71 b,,,,2.150
K2-72,K2-72 b,,,,1.080
K2-72,K2-72 c,,,,1.160
K2-72,K2-72 d,,,,1.010
K2-72,K2-72 e,,,,1.290
K2-73,K2-73 b,,,,2.450
K2-74,K2-74 b,,,,2.310
K2-75,K2-75 b,,,,2.670
K2-75,K2-75 c,,,,2.770
K2-77,K2-77 b,,,603.87700,2.300
K2-79,K2-79 b,,,,3.690
K2-8,K2-8 b,,631,,3.580
K2-8,K2-8 c,,801,,2.410
K2-80,K2-80 b,,,,2.010
K2-80,K2-80 c,,,,1.470
K2-80,K2-80 d,,,,2.552
K2-81,K2-81 b,,,,1.970
K2-83,K2-83 b,,,,1.244
K2-83,K2-83 c,,,,1.483
K2-84,K2-84 b,,,,2.410
K2-84,K2-84 c,,,,2.030
K2-85,K2-85 b,,,,1.010
K2-86,K2-86 b,,,,1.960
K2-87,K2-87 b,,979,,7.600
K2-88,K2-88 b,,,,1.230
K2-89,K2-89 b,,,,0.615
K2-9,K2-9 b,,314,,2.250
K2-90,K2-90 b,,502,,2.600
K2-90,K2-90 c,,,,1.300
K2-91,K2-91 b,,,,1.100
K2-95,K2-95 b,,383,,3.880
K2-97,K2-97 b,,1499,,10.610
K2-98,K2-98 b,,1092,,5.200
K2-99,K2-99 b,,1113,,11.730
KELT-1,KELT-1 b,24.70000,,8654.15000,12.442
KELT-10,KELT-10 b,0.30800,1377,215.80657,15.681
KELT-11,KELT-11 b,,,54.34893,15.132
KELT-12,KELT-12 b,0.20900,1800,301.93850,19.952
KELT-14,KELT-14 b,0.32200,1970,408.09372,19.537
KELT-15,KELT-15 b,,,416.35730,19.504
KELT-16,KELT-16 b,1.20000,2453,874.03250,15.861
KELT-17,KELT-17 b,0.46000,2087,416.35730,17.094
KELT-18,KELT-18 b,0.37700,2085,375.03940,17.598
KELT-19 A,KELT-19 A b,0.74400,1935,1293.56810,21.409
KELT-2 A,KELT-2 A b,,,540.31100,15.132
KELT-20,KELT-20 b,0.80600,2262,1074.90106,19.515
KELT-21,KELT-21 b,1.24000,2051,1242.71530,17.777
KELT-23 A,KELT-23 A b,0.50300,1561,298.12454,14.830
KELT-24,KELT-24 b,3.13000,1459,1646.35940,14.258
KELT-3,KELT-3 b,,,616.59020,17.486
KELT-4 A,KELT-4 A b,0.22800,1823,286.68266,19.044
KELT-6,KELT-6 b,,,165.27160,14.572
KELT-6,KELT-6 c,,,,
KELT-7,KELT-7 b,,,441.78370,17.934
KELT-8,KELT-8 b,,,209.76780,18.159
KELT-9,KELT-9 b,0.53000,4050,915.35040,21.196
KIC 10001893,KIC 10001893 b,,,,
KIC 10001893,KIC 10001893 c,,,,
KIC 10001893,KIC 10001893 d,,,,
KIC 10525077,KIC 10525077 b,,,,5.500
KIC 3558849,KIC 3558849 b,,,,6.900
KIC 5095269,KIC 5095269 b,,,2445.06619,
KIC 5437945,KIC 5437945 b,,,,6.400
KIC 5951458,KIC 5951458 b,,,,6.600
KIC 7917485,KIC 7917485 b,,,,
KOI-7892,KIC 8540376 b,,,,4.100
KOI-7892,KIC 8540376 c,,,,2.400
KIC 9663113,KIC 9663113 b,,,,4.600
KMT-2016-BLG-0212L,KMT-2016-BLG-0212L b,,,5720.94000,
KMT-2016-BLG-1107L,KMT-2016-BLG-1107L b,,,1043.43589,
KMT-2016-BLG-1397L,KMT-2016-BLG-1397L b,,,2224.81000,
KMT-2016-BLG-1820L,KMT-2016-BLG-1820L b,,,1452.48310,
KMT-2016-BLG-1836L,KMT-2016-BLG-1836L b,,,699.22600,
KMT-2016-BLG-2142L,KMT-2016-BLG-2142L b,,,4923.18670,
KMT-2017-BLG-0165L,KMT-2017-BLG-0165L b,,,34.00000,
KMT-2017-BLG-1038L,KMT-2017-BLG-1038L b,,,635.66000,
KMT-2017-BLG-1146L,KMT-2017-BLG-1146L b,,,225.65930,
KMT-2018-BLG-1990L,KMT-2018-BLG-1990L b,,,110.60484,
KOI-12,KOI-12 b,,,349.61300,13.787
KOI-1257,KOI-1257 b,2.10000,511,460.83000,10.540
KOI-13,KOI-13 b,3.60000,2550,2949.46240,16.948
KOI-142,KOI-142 b,0.87000,,8.70000,3.780
KOI-142,KOI-142 c,,,198.80000,
KOI-1599,KOI-1599.01,,,4.60000,1.900
KOI-1599,KOI-1599.02,,,9.00000,1.900
KOI-217,KOI-217 b,,,,12.442
KOI-351,KOI-351 b,,,,1.310
KOI-351,KOI-351 c,,,,1.190
KOI-351,KOI-351 d,,,,2.870
KOI-351,KOI-351 e,,,,2.660
KOI-351,KOI-351 f,,,,2.880
KOI-351,KOI-351 g,,,,8.100
KOI-351,KOI-351 h,,,,11.300
KOI-3680,KOI-3680 b,2.46000,347,613.41190,11.097
KOI-55,KOI-55 b,,,0.44000,0.759
KOI-55,KOI-55 c,,,0.65500,0.867
KOI-94,KOI-94 b,10.10000,1486,10.50000,1.710
KOI-94,KOI-94 c,0.91000,1012,15.60000,4.320
KOI-94,KOI-94 d,0.36300,806,106.00000,11.270
KOI-94,KOI-94 e,0.60000,584,35.00000,6.560
KPS-1,KPS-1 b,1.31000,1459,346.43470,11.545
Kapteyn,Kapteyn c,,,,
Kepler-10,Kepler-10 b,8.00000,2130,4.60853,1.481
Kepler-10,Kepler-10 c,3.14000,,7.37000,
Kepler-100,Kepler-100 b,14.25000,,7.34000,1.320
Kepler-100,Kepler-100 c,,,7.05000,2.200
Kepler-100,Kepler-100 d,,,3.00000,1.610
Kepler-1000,Kepler-1000 b,,,,4.760
Kepler-1001,Kepler-1001 b,,,,3.150
Kepler-1002,Kepler-1002 b,,,,1.710
Kepler-1003,Kepler-1003 b,,,,1.780
Kepler-1004,Kepler-1004 b,,,,6.280
Kepler-1005,Kepler-1005 b,,,,1.500
Kepler-1006,Kepler-1006 b,,,,1.540
Kepler-1007,Kepler-1007 b,,,,1.440
Kepler-1008,Kepler-1008 b,,,,1.280
Kepler-1009,Kepler-1009 b,,,,2.170
Kepler-101,Kepler-101 b,1.45000,1513,51.10000,5.770
Kepler-101,Kepler-101 c,10.50000,1413,3.78000,1.250
Kepler-1010,Kepler-1010 b,,,,2.320
Kepler-1011,Kepler-1011 b,,,,2.870
Kepler-1012,Kepler-1012 b,,,,1.290
Kepler-1013,Kepler-1013 b,,,,2.150
Kepler-1014,Kepler-1014 b,,,,2.390
Kepler-1015,Kepler-1015 b,,,,3.550
Kepler-1016,Kepler-1016 b,,,,2.180
Kepler-1016,Kepler-1016 c,,,,3.680
Kepler-1017,Kepler-1017 b,,,,1.990
Kepler-1018,Kepler-1018 b,,,,2.580
Kepler-1019,Kepler-1019 b,,,,1.460
Kepler-102,Kepler-102 b,,,4.30000,0.470
Kepler-102,Kepler-102 c,,,3.00000,0.580
Kepler-102,Kepler-102 d,13.27000,,3.80000,1.180
Kepler-102,Kepler-102 e,4.68000,,8.93000,2.220
Kepler-102,Kepler-102 f,,,5.20000,0.880
Kepler-1020,Kepler-1020 b,,,,2.280
Kepler-1021,Kepler-1021 b,,,,2.330
Kepler-1022,Kepler-1022 b,,,,2.360
Kepler-1023,Kepler-1023 b,,,,2.630
Kepler-1024,Kepler-1024 b,,,,3.910
Kepler-1025,Kepler-1025 b,,,,1.980
Kepler-1026,Kepler-1026 b,,,,2.210
Kepler-1027,Kepler-1027 b,,,,0.890
Kepler-1028,Kepler-1028 b,,,,1.330
Kepler-1029,Kepler-1029 b,,,,1.260
Kepler-103,Kepler-103 b,1.38000,,9.70000,3.370
Kepler-103,Kepler-103 c,1.47000,,36.10000,5.140
Kepler-1030,Kepler-1030 b,,,,2.480
Kepler-1031,Kepler-1031 b,,,,0.870
Kepler-1032,Kepler-1032 b,,,,1.870
Kepler-1033,Kepler-1033 b,,,,2.510
Kepler-1034,Kepler-1034 b,,,,2.260
Kepler-1035,Kepler-1035 b,,,,1.170
Kepler-1036,Kepler-1036 b,,,,3.010
Kepler-1037,Kepler-1037 b,,,,1.280
Kepler-1038,Kepler-1038 b,,,,3.530
Kepler-1039,Kepler-1039 b,,,,1.460
Kepler-104,Kepler-104 b,,,,3.100
Kepler-104,Kepler-104 c,,,,3.130
Kepler-104,Kepler-104 d,,,,3.580
Kepler-1040,Kepler-1040 b,,,,2.080
Kepler-1041,Kepler-1041 b,,,,2.940
Kepler-1042,Kepler-1042 b,,,,2.190
Kepler-1043,Kepler-1043 b,,,,2.550
Kepler-1044,Kepler-1044 b,,,,2.670
Kepler-1045,Kepler-1045 b,,,,2.690
Kepler-1046,Kepler-1046 b,,,,1.710
Kepler-1047,Kepler-1047 b,,,,2.090
Kepler-1047,Kepler-1047 c,,,,0.990
Kepler-1048,Kepler-1048 b,,,,1.610
Kepler-1049,Kepler-1049 b,,,,0.950
Kepler-105,Kepler-105 b,,1418,,4.810
Kepler-105,Kepler-105 c,11.20000,,4.60000,1.310
Kepler-1050,Kepler-1050 b,,,,1.600
Kepler-1050,Kepler-1050 c,,,,1.480
Kepler-1051,Kepler-1051 b,,,,3.400
Kepler-1052,Kepler-1052 b,,,,2.930
Kepler-1053,Kepler-1053 b,,,,0.980
Kepler-1054,Kepler-1054 b,,,,2.630
Kepler-1055,Kepler-1055 b,,,,1.230
Kepler-1056,Kepler-1056 b,,,,3.010
Kepler-1057,Kepler-1057 b,,,,3.360
Kepler-1058,Kepler-1058 b,,,,2.720
Kepler-1059,Kepler-1059 b,,,,1.730
Kepler-106,Kepler-106 b,,,5.30000,0.820
Kepler-106,Kepler-106 c,3.28000,,10.44000,2.500
Kepler-106,Kepler-106 d,,,8.10000,0.950
Kepler-106,Kepler-106 e,3.10000,,11.17000,2.560
Kepler-1060,Kepler-1060 b,,,,2.380
Kepler-1061,Kepler-1061 b,,,,1.980
Kepler-1062,Kepler-1062 b,,,,1.760
Kepler-1063,Kepler-1063 b,,,,1.490
Kepler-1064,Kepler-1064 b,,,,1.550
Kepler-1065,Kepler-1065 b,,,,3.730
Kepler-1065,Kepler-1065 c,,,,1.600
Kepler-1066,Kepler-1066 b,,,,2.360
Kepler-1067,Kepler-1067 b,,,,0.800
Kepler-1068,Kepler-1068 b,,,,3.630
Kepler-1069,Kepler-1069 b,,,,1.600
Kepler-107,Kepler-107 b,5.30000,1593,3.51000,1.536
Kepler-107,Kepler-107 c,12.65000,1379,9.39000,1.597
Kepler-107,Kepler-107 d,33.10000,1173,3.80000,0.860
Kepler-107,Kepler-107 e,2.00000,955,8.60000,2.903
Kepler-1070,Kepler-1070 b,,,,1.730
Kepler-1071,Kepler-1071 b,,,,2.380
Kepler-1072,Kepler-1072 b,,,,1.580
Kepler-1073,Kepler-1073 b,,,,2.300
Kepler-1073,Kepler-1073 c,,,,1.640
Kepler-1074,Kepler-1074 b,,,,1.250
Kepler-1075,Kepler-1075 b,,,,1.420
Kepler-1076,Kepler-1076 b,,,,0.800
Kepler-1077,Kepler-1077 b,,,,2.770
Kepler-1078,Kepler-1078 b,,,,1.900
Kepler-1079,Kepler-1079 b,,,,1.630
Kepler-108,Kepler-108 b,,,,8.650
Kepler-108,Kepler-108 c,,,,8.180
Kepler-1080,Kepler-1080 b,,,,3.280
Kepler-1081,Kepler-1081 b,,,,1.010
Kepler-1082,Kepler-1082 b,,,,1.120
Kepler-1083,Kepler-1083 b,,,,3.360
Kepler-1084,Kepler-1084 b,,,,1.110
Kepler-1085,Kepler-1085 b,,,,7.220
Kepler-1086,Kepler-1086 b,,,,2.440
Kepler-1086,Kepler-1086 c,,,,2.940
Kepler-1087,Kepler-1087 b,,,,0.610
Kepler-1088,Kepler-1088 b,,,,1.420
Kepler-1089,Kepler-1089 b,,,,1.830
Kepler-109,Kepler-109 b,,,7.30000,2.370
Kepler-109,Kepler-109 c,,,21.80000,2.520
Kepler-1090,Kepler-1090 b,,,,2.250
Kepler-1091,Kepler-1091 b,,,,1.460
Kepler-1092,Kepler-1092 b,,,,2.070
Kepler-1093,Kepler-1093 b,,,,1.950
Kepler-1093,Kepler-1093 c,,,,1.960
Kepler-1094,Kepler-1094 b,,,,3.180
Kepler-1095,Kepler-1095 b,,,,1.210
Kepler-1096,Kepler-1096 b,,,,1.240
Kepler-1097,Kepler-1097 b,,,,3.260
Kepler-1098,Kepler-1098 b,,,,1.300
Kepler-1099,Kepler-1099 b,,,,2.830
Kepler-11,Kepler-11 b,1.72000,,1.90000,1.800
Kepler-11,Kepler-11 c,0.66000,,2.90000,2.870
Kepler-11,Kepler-11 d,1.28000,,7.30000,3.120
Kepler-11,Kepler-11 e,0.58000,,8.00000,4.190
Kepler-11,Kepler-11 f,0.69000,,2.00000,2.490
Kepler-11,Kepler-11 g,4.00000,,25.00000,3.330
Kepler-110,Kepler-110 b,,,,1.830
Kepler-110,Kepler-110 c,,,,2.210
Kepler-1100,Kepler-1100 b,,,,1.750
Kepler-1101,Kepler-1101 b,,,,2.470
Kepler-1102,Kepler-1102 b,,,,2.660
Kepler-1103,Kepler-1103 b,,,,2.270
Kepler-1104,Kepler-1104 b,,,,1.230
Kepler-1105,Kepler-1105 b,,,,2.010
Kepler-1106,Kepler-1106 b,,,,1.650
Kepler-1107,Kepler-1107 b,,,,1.340
Kepler-1108,Kepler-1108 b,,,,1.460
Kepler-1109,Kepler-1109 b,,,,2.190
Kepler-111,Kepler-111 b,,,,1.580
Kepler-111,Kepler-111 c,,,,7.300
Kepler-1110,Kepler-1110 b,,,,2.660
Kepler-1111,Kepler-1111 b,,,,2.000
Kepler-1112,Kepler-1112 b,,,,3.020
Kepler-1113,Kepler-1113 b,,,,2.810
Kepler-1114,Kepler-1114 b,,,,1.350
Kepler-1115,Kepler-1115 b,,,,1.700
Kepler-1116,Kepler-1116 b,,,,2.540
Kepler-1117,Kepler-1117 b,,,,1.110
Kepler-1118,Kepler-1118 b,,,,2.740
Kepler-1119,Kepler-1119 b,,,,1.920
Kepler-112,Kepler-112 b,,,,2.360
Kepler-112,Kepler-112 c,,,,2.400
Kepler-1120,Kepler-1120 b,,,,1.380
Kepler-1121,Kepler-1121 b,,,,1.910
Kepler-1122,Kepler-1122 b,,,,2.040
Kepler-1123,Kepler-1123 b,,,,1.670
Kepler-1124,Kepler-1124 b,,,,1.280
Kepler-1125,Kepler-1125 b,,,,1.840
Kepler-1126,Kepler-1126 b,,,,1.730
Kepler-1127,Kepler-1127 b,,,,1.960
Kepler-1128,Kepler-1128 b,,,,3.650
Kepler-1129,Kepler-1129 b,,,,2.960
Kepler-1129,Kepler-1129 c,,,,2.730
Kepler-113,Kepler-113 b,10.73000,,11.70000,1.820
Kepler-113,Kepler-113 c,,,8.70000,2.180
Kepler-1130,Kepler-1130 b,,,,0.800
Kepler-1131,Kepler-1131 b,,,,1.590
Kepler-1132,Kepler-1132 b,,,,2.350
Kepler-1133,Kepler-1133 b,,,,1.970
Kepler-1134,Kepler-1134 b,,,,2.640
Kepler-1135,Kepler-1135 b,,,,1.850
Kepler-1136,Kepler-1136 b,,,,1.640
Kepler-1137,Kepler-1137 b,,,,2.200
Kepler-1138,Kepler-1138 b,,,,1.700
Kepler-1139,Kepler-1139 b,,,,1.190
Kepler-114,Kepler-114 b,,,,1.260
Kepler-114,Kepler-114 c,,,2.80000,1.600
Kepler-114,Kepler-114 d,,,3.90000,2.530
Kepler-1140,Kepler-1140 b,,,,2.770
Kepler-1141,Kepler-1141 b,,,,0.820
Kepler-1142,Kepler-1142 b,,,,1.470
Kepler-1143,Kepler-1143 b,,,,1.670
Kepler-1143,Kepler-1143 c,,,,3.600
Kepler-1144,Kepler-1144 b,,,,1.990
Kepler-1145,Kepler-1145 b,,,,1.400
Kepler-1146,Kepler-1146 b,,,,1.230
Kepler-1147,Kepler-1147 b,,,,2.610
Kepler-1148,Kepler-1148 b,,,,1.690
Kepler-1149,Kepler-1149 b,,,,1.440
Kepler-115,Kepler-115 b,,,,1.090
Kepler-115,Kepler-115 c,,,,2.600
Kepler-1150,Kepler-1150 b,,,,1.020
Kepler-1151,Kepler-1151 b,,,,2.220
Kepler-1152,Kepler-1152 b,,,,0.870
Kepler-1153,Kepler-1153 b,,,,1.730
Kepler-1154,Kepler-1154 b,,,,2.340
Kepler-1154,Kepler-1154 c,,,,2.360
Kepler-1155,Kepler-1155 b,,,,2.030
Kepler-1156,Kepler-1156 b,,,,1.320
Kepler-1157,Kepler-1157 b,,,,1.090
Kepler-1158,Kepler-1158 b,,,,2.340
Kepler-1159,Kepler-1159 b,,,,2.370
Kepler-116,Kepler-116 b,,,,3.420
Kepler-116,Kepler-116 c,,,,2.300
Kepler-1160,Kepler-1160 b,,,,2.140
Kepler-1161,Kepler-1161 b,,,,2.130
Kepler-1162,Kepler-1162 b,,,,2.210
Kepler-1163,Kepler-1163 b,,,,1.030
Kepler-1164,Kepler-1164 b,,,,1.120
Kepler-1165,Kepler-1165 b,,,,1.550
Kepler-1166,Kepler-1166 b,,,,1.690
Kepler-1167,Kepler-1167 b,,,,1.710
Kepler-1168,Kepler-1168 b,,,,2.500
Kepler-1169,Kepler-1169 b,,,,0.940
Kepler-117,Kepler-117 b,0.30000,984,29.87500,8.059
Kepler-117,Kepler-117 c,1.74000,704,584.78000,12.341
Kepler-1170,Kepler-1170 b,,,,2.410
Kepler-1171,Kepler-1171 b,,,,2.560
Kepler-1172,Kepler-1172 b,,,,3.200
Kepler-1173,Kepler-1173 b,,,,0.890
Kepler-1174,Kepler-1174 b,,,,1.590
Kepler-1175,Kepler-1175 b,,,,2.990
Kepler-1176,Kepler-1176 b,,,,2.450
Kepler-1177,Kepler-1177 b,,,,1.900
Kepler-1178,Kepler-1178 b,,,,1.070
Kepler-1179,Kepler-1179 b,,,,1.320
Kepler-118,Kepler-118 b,,,,1.960
Kepler-118,Kepler-118 c,,,,7.680
Kepler-1180,Kepler-1180 b,,,,1.990
Kepler-1181,Kepler-1181 b,,,,1.570
Kepler-1182,Kepler-1182 b,,,,2.410
Kepler-1183,Kepler-1183 b,,,,2.820
Kepler-1184,Kepler-1184 b,,,,2.680
Kepler-1185,Kepler-1185 b,,,,1.330
Kepler-1186,Kepler-1186 b,,,,2.230
Kepler-1187,Kepler-1187 b,,,,2.610
Kepler-1188,Kepler-1188 b,,,,2.080
Kepler-1189,Kepler-1189 b,,,,1.770
Kepler-119,Kepler-119 b,,,,3.600
Kepler-119,Kepler-119 c,,,,0.920
Kepler-1190,Kepler-1190 b,,,,1.330
Kepler-1191,Kepler-1191 b,,,,1.510
Kepler-1192,Kepler-1192 b,,,,2.360
Kepler-1193,Kepler-1193 b,,,,1.320
Kepler-1194,Kepler-1194 b,,,,1.510
Kepler-1195,Kepler-1195 b,,,,2.080
Kepler-1196,Kepler-1196 b,,,,2.230
Kepler-1197,Kepler-1197 b,,,,1.250
Kepler-1198,Kepler-1198 b,,,,1.470
Kepler-1199,Kepler-1199 b,,,,1.150
Kepler-12,Kepler-12 b,0.11000,1480,137.30256,19.661
Kepler-120,Kepler-120 b,,,,2.150
Kepler-120,Kepler-120 c,,,,1.530
Kepler-1200,Kepler-1200 b,,,,1.060
Kepler-1201,Kepler-1201 b,,,,2.290
Kepler-1202,Kepler-1202 b,,,,2.940
Kepler-1203,Kepler-1203 b,,,,1.060
Kepler-1204,Kepler-1204 b,,,,3.050
Kepler-1205,Kepler-1205 b,,,,1.410
Kepler-1206,Kepler-1206 b,,,,1.640
Kepler-1207,Kepler-1207 b,,,,1.620
Kepler-1208,Kepler-1208 b,,,,2.320
Kepler-1209,Kepler-1209 b,,,,1.510
Kepler-121,Kepler-121 b,,,,2.340
Kepler-121,Kepler-121 c,,,,2.270
Kepler-1210,Kepler-1210 b,,,,1.700
Kepler-1211,Kepler-1211 b,,,,2.550
Kepler-1212,Kepler-1212 b,,,,2.140
Kepler-1213,Kepler-1213 b,,,,1.190
Kepler-1214,Kepler-1214 b,,,,2.360
Kepler-1215,Kepler-1215 b,,,,1.220
Kepler-1216,Kepler-1216 b,,,,1.390
Kepler-1217,Kepler-1217 b,,,,1.990
Kepler-1218,Kepler-1218 b,,,,1.440
Kepler-1219,Kepler-1219 b,,,,2.120
Kepler-122,Kepler-122 b,,,,2.340
Kepler-122,Kepler-122 c,,,,5.870
Kepler-122,Kepler-122 d,,,,2.200
Kepler-122,Kepler-122 e,,,,2.600
Kepler-122,Kepler-122 f,,,36.00000,1.750
Kepler-1220,Kepler-1220 b,,,,1.520
Kepler-1221,Kepler-1221 b,,,,1.880
Kepler-1222,Kepler-1222 b,,,,0.790
Kepler-1223,Kepler-1223 b,,,,1.220
Kepler-1224,Kepler-1224 b,,,,1.330
Kepler-1225,Kepler-1225 b,,,,1.820
Kepler-1226,Kepler-1226 b,,,,1.450
Kepler-1227,Kepler-1227 b,,,,2.290
Kepler-1228,Kepler-1228 b,,,,1.540
Kepler-1229,Kepler-1229 b,,,,1.400
Kepler-123,Kepler-123 b,,,,2.940
Kepler-123,Kepler-123 c,,,,1.480
Kepler-1230,Kepler-1230 b,,,,2.710
Kepler-1231,Kepler-1231 b,,,,1.420
Kepler-1232,Kepler-1232 b,,,,1.930
Kepler-1233,Kepler-1233 b,,,,2.600
Kepler-1234,Kepler-1234 b,,,,2.810
Kepler-1235,Kepler-1235 b,,,,0.790
Kepler-1236,Kepler-1236 b,,,,2.140
Kepler-1237,Kepler-1237 b,,,,2.860
Kepler-1238,Kepler-1238 b,,,,1.930
Kepler-1239,Kepler-1239 b,,,,2.900
Kepler-124,Kepler-124 b,,,,0.730
Kepler-124,Kepler-124 c,,,,1.750
Kepler-124,Kepler-124 d,,,,1.110
Kepler-1240,Kepler-1240 b,,,,1.150
Kepler-1241,Kepler-1241 b,,,,2.630
Kepler-1242,Kepler-1242 b,,,,2.260
Kepler-1243,Kepler-1243 b,,,,1.750
Kepler-1244,Kepler-1244 b,,,,1.350
Kepler-1245,Kepler-1245 b,,,,1.440
Kepler-1245,Kepler-1245 c,,,,1.440
Kepler-1246,Kepler-1246 b,,,,1.360
Kepler-1247,Kepler-1247 b,,,,2.330
Kepler-1248,Kepler-1248 b,,,,1.180
Kepler-1249,Kepler-1249 b,,,,2.380
Kepler-125,Kepler-125 b,,,,2.370
Kepler-125,Kepler-125 c,,,,0.740
Kepler-1250,Kepler-1250 b,,,,1.920
Kepler-1251,Kepler-1251 b,,,,1.840
Kepler-1252,Kepler-1252 b,,,,1.670
Kepler-1253,Kepler-1253 b,,,,1.330
Kepler-1254,Kepler-1254 b,,,,1.550
Kepler-1254,Kepler-1254 c,,,,1.300
Kepler-1254,Kepler-1254 d,,,,1.310
Kepler-1255,Kepler-1255 b,,,,2.320
Kepler-1256,Kepler-1256 b,,,,1.490
Kepler-1257,Kepler-1257 b,,,,1.520
Kepler-1258,Kepler-1258 b,,,,0.860
Kepler-1259,Kepler-1259 b,,,,1.430
Kepler-126,Kepler-126 b,,,,1.520
Kepler-126,Kepler-126 c,,,,1.580
Kepler-126,Kepler-126 d,,,,2.500
Kepler-1260,Kepler-1260 b,,,,1.770
Kepler-1261,Kepler-1261 b,,,,2.260
Kepler-1262,Kepler-1262 b,,,,1.820
Kepler-1263,Kepler-1263 b,,,,1.140
Kepler-1264,Kepler-1264 b,,,,1.180
Kepler-1265,Kepler-1265 b,,,,1.350
Kepler-1266,Kepler-1266 b,,,,2.580
Kepler-1267,Kepler-1267 b,,,,3.010
Kepler-1268,Kepler-1268 b,,,,2.030
Kepler-1269,Kepler-1269 b,,,,1.630
Kepler-127,Kepler-127 b,,,,1.400
Kepler-127,Kepler-127 c,,,,2.660
Kepler-127,Kepler-127 d,,,,2.640
Kepler-1270,Kepler-1270 b,,,,3.320
Kepler-1271,Kepler-1271 b,,,,1.480
Kepler-1272,Kepler-1272 b,,,,2.370
Kepler-1273,Kepler-1273 b,,,,2.490
Kepler-1274,Kepler-1274 b,,,,1.420
Kepler-1275,Kepler-1275 b,,,,1.480
Kepler-1276,Kepler-1276 b,,,,1.190
Kepler-1277,Kepler-1277 b,,,,1.600
Kepler-1278,Kepler-1278 b,,,,1.010
Kepler-1279,Kepler-1279 b,,,,1.750
Kepler-128,Kepler-128 b,1.46000,,0.77000,1.430
Kepler-128,Kepler-128 c,2.07000,,0.90000,1.340
Kepler-1280,Kepler-1280 b,,,,1.870
Kepler-1281,Kepler-1281 b,,,,1.640
Kepler-1282,Kepler-1282 b,,,,1.550
Kepler-1283,Kepler-1283 b,,,,1.910
Kepler-1284,Kepler-1284 b,,,,1.210
Kepler-1285,Kepler-1285 b,,,,0.970
Kepler-1286,Kepler-1286 b,,,,2.150
Kepler-1287,Kepler-1287 b,,,,1.540
Kepler-1288,Kepler-1288 b,,,,1.120
Kepler-1289,Kepler-1289 b,,,,1.520
Kepler-129,Kepler-129 b,,,,2.370
Kepler-129,Kepler-129 c,,,,2.550
Kepler-1290,Kepler-1290 b,,,,1.420
Kepler-1291,Kepler-1291 b,,,,1.660
Kepler-1292,Kepler-1292 b,,,,1.820
Kepler-1293,Kepler-1293 b,,,,0.970
Kepler-1294,Kepler-1294 b,,,,3.190
Kepler-1295,Kepler-1295 b,,,,1.550
Kepler-1296,Kepler-1296 b,,,,0.910
Kepler-1297,Kepler-1297 b,,,,0.970
Kepler-1298,Kepler-1298 b,,,,1.310
Kepler-1299,Kepler-1299 b,,,,2.980
Kepler-130,Kepler-130 b,,,,1.020
Kepler-130,Kepler-130 c,,683,,2.900
Kepler-130,Kepler-130 d,,,,1.640
Kepler-1300,Kepler-1300 b,,,,1.370
Kepler-1301,Kepler-1301 b,,,,1.400
Kepler-1302,Kepler-1302 b,,,,1.430
Kepler-1303,Kepler-1303 b,,,,1.420
Kepler-1304,Kepler-1304 b,,,,2.290
Kepler-1305,Kepler-1305 b,,,,1.880
Kepler-1306,Kepler-1306 b,,,,1.910
